2025.03.06 17:15:00   ADD | LONG | p=0.90685 | lot=0.24 | 
2025.03.07 00:15:00   ADD | LONG | p=0.90569 | lot=0.36 | 
2025.03.07 03:30:00   ADD | LONG | p=0.90382 | lot=0.48 | 
2025.03.07 07:45:00   ADD | LONG | p=0.90185 | lot=0.60 | 
2025.03.07 17:15:00   CLOSE_BASKET | LONG | p=0.90504 | lot=1.69 | reason=tp_10.0_pips net_pips=10.6
2025.03.10 01:00:00   PROBE_OPEN | LONG | p=0.90599 | lot=0.01 | gate_l=1 gate_s=0
2025.03.10 04:00:00   CLOSE_BASKET | LONG | p=0.90703 | lot=0.01 | reason=tp_10.0_pips net_pips=10.4
2025.03.10 05:15:00   PROBE_OPEN | LONG | p=0.90576 | lot=0.01 | gate_l=1 gate_s=0
2025.03.10 07:45:00   CLOSE_BASKET | LONG | p=0.90680 | lot=0.01 | reason=tp_10.0_pips net_pips=10.4
2025.03.10 16:45:00   PROBE_OPEN | LONG | p=0.90988 | lot=0.01 | gate_l=1 gate_s=0
2025.03.10 20:30:00   ADD | LONG | p=0.90776 | lot=0.24 | 
2025.03.10 23:30:00   ADD | LONG | p=0.90657 | lot=0.36 | 
2025.03.11 03:15:00   ADD | LONG | p=0.90470 | lot=0.48 | 
2025.03.11 16:00:00   CLOSE_BASKET | LONG | p=0.90709 | lot=1.09 | reason=tp_10.0_pips net_pips=10.5
2025.03.11 21:00:00   PROBE_OPEN | LONG | p=0.90845 | lot=0.01 | gate_l=1 gate_s=0
2025.03.12 09:30:00   CLOSE_BASKET | LONG | p=0.90998 | lot=0.01 | reason=tp_10.0_pips net_pips=15.3
2025.03.12 12:00:00   PROBE_OPEN | LONG | p=0.90808 | lot=0.01 | gate_l=1 gate_s=0
2025.03.12 14:00:00   ADD | LONG | p=0.90614 | lot=0.24 | 
2025.03.12 17:45:00   CLOSE_BASKET | LONG | p=0.90740 | lot=0.25 | reason=tp_10.0_pips net_pips=11.8
2025.03.12 20:45:00   PROBE_OPEN | LONG | p=0.90672 | lot=0.01 | gate_l=1 gate_s=0
2025.03.12 21:30:00   CLOSE_BASKET | LONG | p=0.90777 | lot=0.01 | reason=tp_10.0_pips net_pips=10.5
2025.03.13 06:00:00   PROBE_OPEN | LONG | p=0.90851 | lot=0.01 | gate_l=1 gate_s=0
2025.03.13 08:45:00   ADD | LONG | p=0.90657 | lot=0.24 | 
2025.03.13 11:30:00   ADD | LONG | p=0.90450 | lot=0.36 | 
2025.03.13 15:15:00   ADD | LONG | p=0.90267 | lot=0.48 | 
2025.03.13 17:00:00   CLOSE_BASKET | LONG | p=0.90538 | lot=1.09 | reason=tp_10.0_pips net_pips=11.9
2025.03.14 02:30:00   PROBE_OPEN | LONG | p=0.90657 | lot=0.01 | gate_l=1 gate_s=0
2025.03.14 03:45:00   CLOSE_BASKET | LONG | p=0.90781 | lot=0.01 | reason=tp_10.0_pips net_pips=12.4
2025.03.14 16:00:00   PROBE_OPEN | LONG | p=0.90914 | lot=0.01 | gate_l=1 gate_s=0
2025.03.17 03:30:00   CLOSE_BASKET | LONG | p=0.91027 | lot=0.01 | reason=tp_10.0_pips net_pips=11.3
2025.03.17 05:30:00   PROBE_OPEN | LONG | p=0.90963 | lot=0.01 | gate_l=1 gate_s=0
2025.03.17 10:45:00   CLOSE_BASKET | LONG | p=0.91074 | lot=0.01 | reason=tp_10.0_pips net_pips=11.1
2025.03.17 14:30:00   PROBE_OPEN | LONG | p=0.91063 | lot=0.01 | gate_l=1 gate_s=0
2025.03.17 19:00:00   CLOSE_BASKET | LONG | p=0.91168 | lot=0.01 | reason=tp_10.0_pips net_pips=10.5
2025.03.17 23:15:30   PROBE_OPEN | LONG | p=0.91258 | lot=0.01 | gate_l=1 gate_s=0
2025.03.18 13:15:00   ADD | LONG | p=0.91074 | lot=0.24 | 
2025.03.18 15:45:00   ADD | LONG | p=0.90860 | lot=0.36 | 
2025.03.19 10:45:00   ADD | LONG | p=0.90663 | lot=0.48 | 
2025.03.19 20:45:00   CLOSE_BASKET | LONG | p=0.90946 | lot=1.09 | reason=tp_10.0_pips net_pips=12.2
2025.03.20 02:45:00   PROBE_OPEN | LONG | p=0.90805 | lot=0.01 | gate_l=1 gate_s=0
2025.03.20 09:45:00   ADD | LONG | p=0.90587 | lot=0.24 | 
2025.03.20 14:00:00   ADD | LONG | p=0.90389 | lot=0.36 | 
2025.03.20 19:15:00   ADD | LONG | p=0.90153 | lot=0.48 | 
2025.03.21 18:00:00   ADD | LONG | p=0.89943 | lot=0.60 | 
2025.03.24 18:00:00   ADD | LONG | p=0.89755 | lot=0.72 | 
2025.03.25 12:15:00   CLOSE_BASKET | LONG | p=0.90163 | lot=2.41 | reason=tp_10.0_pips net_pips=10.0
2025.03.25 12:30:00   PROBE_OPEN | SHORT | p=0.90161 | lot=0.01 | gate_l=0 gate_s=1
2025.03.25 21:00:00   CLOSE_BASKET | SHORT | p=0.90070 | lot=0.01 | reason=tp_10.0_pips net_pips=9.1
2025.03.26 02:15:00   PROBE_OPEN | SHORT | p=0.90024 | lot=0.01 | gate_l=0 gate_s=1
2025.03.26 02:45:00   CLOSE_BASKET | SHORT | p=0.89933 | lot=0.01 | reason=tp_10.0_pips net_pips=9.1
2025.03.26 04:45:00   PROBE_OPEN | SHORT | p=0.89973 | lot=0.01 | gate_l=0 gate_s=1
2025.03.26 15:45:00   CLOSE_BASKET | SHORT | p=0.89900 | lot=0.01 | reason=tp_10.0_pips net_pips=7.3
2025.03.26 23:45:00   PROBE_OPEN | SHORT | p=0.89938 | lot=0.01 | gate_l=0 gate_s=1
2025.03.27 01:00:00   CLOSE_BASKET | SHORT | p=0.89859 | lot=0.01 | reason=tp_10.0_pips net_pips=7.9
2025.03.27 02:15:00   PROBE_OPEN | SHORT | p=0.89875 | lot=0.01 | gate_l=0 gate_s=1
2025.03.27 08:30:00   ADD | SHORT | p=0.90095 | lot=0.24 | 
2025.03.28 05:15:00   CLOSE_BASKET | SHORT | p=0.90016 | lot=0.25 | reason=tp_10.0_pips net_pips=7.0
2025.03.28 08:30:00   PROBE_OPEN | SHORT | p=0.90000 | lot=0.01 | gate_l=0 gate_s=1
2025.03.28 15:45:00   ADD | SHORT | p=0.90240 | lot=0.24 | 
2025.03.28 16:45:00   CLOSE_BASKET | SHORT | p=0.90123 | lot=0.25 | reason=tp_10.0_pips net_pips=10.7
2025.03.28 21:30:00   PROBE_OPEN | SHORT | p=0.90014 | lot=0.01 | gate_l=0 gate_s=1
2025.03.31 00:15:00   CLOSE_BASKET | SHORT | p=0.90090 | lot=0.01 | reason=tp_10.0_pips net_pips=-7.6
2025.03.31 03:45:00   PROBE_OPEN | SHORT | p=0.89909 | lot=0.01 | gate_l=0 gate_s=1
