2026.02.02 09:30:00   CLOSE_BASKET | LONG | p=0.94721 | lot=0.05 | reason=tp_10.0_pips net_pips=10.1
2026.02.02 09:45:00   PROBE_OPEN | SHORT | p=0.94721 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.98
2026.02.02 12:15:00   ADD | SHORT | p=0.94942 | lot=1.20 | 
2026.02.02 12:45:00   CLOSE_BASKET | SHORT | p=0.94802 | lot=1.25 | reason=tp_10.0_pips net_pips=13.1
2026.02.02 16:15:00   PROBE_OPEN | SHORT | p=0.94895 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.96
2026.02.02 18:15:00   ADD | SHORT | p=0.95213 | lot=1.20 | 
2026.02.02 20:15:00   CLOSE_BASKET | SHORT | p=0.95128 | lot=1.25 | reason=tp_10.0_pips net_pips=7.2
2026.02.02 20:45:00   PROBE_OPEN | LONG | p=0.95029 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.94
2026.02.03 02:30:00   CLOSE_BASKET | LONG | p=0.95183 | lot=0.05 | reason=tp_10.0_pips net_pips=15.4
2026.02.03 02:45:00   PROBE_OPEN | SHORT | p=0.95175 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.94
2026.02.03 05:45:00   ADD | SHORT | p=0.95777 | lot=1.20 | 
2026.02.03 09:45:00   ADD | SHORT | p=0.96194 | lot=1.80 | 
2026.02.03 11:30:00   CLOSE_BASKET | SHORT | p=0.95894 | lot=3.05 | reason=tp_10.0_pips net_pips=11.9
2026.02.03 11:45:00   PROBE_OPEN | SHORT | p=0.95914 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.88
2026.02.03 12:45:00   CLOSE_BASKET | SHORT | p=0.95844 | lot=0.05 | reason=tp_10.0_pips net_pips=7.0
2026.02.03 13:00:00   PROBE_OPEN | LONG | p=0.95815 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.88
2026.02.03 17:00:00   ADD | LONG | p=0.95583 | lot=1.20 | 
2026.02.03 18:00:00   CLOSE_BASKET | LONG | p=0.95735 | lot=1.25 | reason=tp_10.0_pips net_pips=14.3
2026.02.03 18:15:00   PROBE_OPEN | SHORT | p=0.95724 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.85
2026.02.03 20:45:00   CLOSE_BASKET | SHORT | p=0.95650 | lot=0.05 | reason=tp_10.0_pips net_pips=7.4
2026.02.03 21:00:00   PROBE_OPEN | LONG | p=0.95581 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.85
2026.02.03 23:00:00   CLOSE_BASKET | LONG | p=0.95727 | lot=0.05 | reason=tp_10.0_pips net_pips=14.6
2026.02.03 23:15:00   PROBE_OPEN | SHORT | p=0.95766 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.85
2026.02.04 00:15:00   CLOSE_BASKET | SHORT | p=0.95768 | lot=0.05 | reason=tp_10.0_pips net_pips=-0.2
2026.02.04 02:00:00   PROBE_OPEN | SHORT | p=0.95772 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.85
2026.02.04 18:00:00   CLOSE_BASKET | SHORT | p=0.95691 | lot=0.05 | reason=tp_10.0_pips net_pips=8.1
2026.02.04 18:15:00   PROBE_OPEN | LONG | p=0.95655 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.85
2026.02.04 19:45:00   ADD | LONG | p=0.95407 | lot=1.20 | 
2026.02.04 21:45:00   CLOSE_BASKET | LONG | p=0.95548 | lot=1.25 | reason=tp_10.0_pips net_pips=13.1
2026.02.04 22:00:00   PROBE_OPEN | SHORT | p=0.95631 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.83
2026.02.05 00:15:00   CLOSE_BASKET | SHORT | p=0.95640 | lot=0.05 | reason=tp_10.0_pips net_pips=-0.9
2026.02.05 02:00:00   PROBE_OPEN | SHORT | p=0.95591 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.83
2026.02.05 04:15:00   CLOSE_BASKET | SHORT | p=0.95428 | lot=0.05 | reason=tp_10.0_pips net_pips=16.3
2026.02.05 04:30:00   PROBE_OPEN | LONG | p=0.95461 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.82
2026.02.05 10:15:00   CLOSE_BASKET | LONG | p=0.95569 | lot=0.05 | reason=tp_10.0_pips net_pips=10.8
2026.02.05 10:30:00   PROBE_OPEN | SHORT | p=0.95517 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.82
2026.02.05 11:15:00   CLOSE_BASKET | SHORT | p=0.95422 | lot=0.05 | reason=tp_10.0_pips net_pips=9.5
2026.02.05 11:45:00   PROBE_OPEN | LONG | p=0.95478 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.82
2026.02.05 16:00:00   ADD | LONG | p=0.95260 | lot=1.20 | 
2026.02.05 17:30:00   ADD | LONG | p=0.95013 | lot=1.80 | 
2026.02.05 18:30:00   CLOSE_BASKET | LONG | p=0.95279 | lot=3.05 | reason=tp_10.0_pips net_pips=16.1
2026.02.05 18:45:00   PROBE_OPEN | SHORT | p=0.95293 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.75
2026.02.05 21:00:00   CLOSE_BASKET | SHORT | p=0.95212 | lot=0.05 | reason=tp_10.0_pips net_pips=8.1
2026.02.05 21:15:00   PROBE_OPEN | SHORT | p=0.95273 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.74
2026.02.05 22:30:00   CLOSE_BASKET | SHORT | p=0.95187 | lot=0.05 | reason=tp_10.0_pips net_pips=8.6
2026.02.05 22:45:00   PROBE_OPEN | LONG | p=0.95136 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.74
2026.02.06 00:15:00   ADD | LONG | p=0.95101 | lot=1.20 | 
2026.02.06 01:30:00   ADD | LONG | p=0.94899 | lot=1.80 | 
2026.02.06 02:15:00   ADD | LONG | p=0.94708 | lot=2.40 | 
2026.02.06 04:00:00   CLOSE_BASKET | LONG | p=0.95012 | lot=5.45 | reason=tp_10.0_pips net_pips=15.0
2026.02.06 04:15:00   PROBE_OPEN | SHORT | p=0.95058 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.62
2026.02.06 11:30:00   ADD | SHORT | p=0.95350 | lot=1.20 | 
2026.02.06 18:15:00   ADD | SHORT | p=0.95617 | lot=1.80 | 
2026.02.06 23:15:00   ADD | SHORT | p=0.95850 | lot=2.40 | 
2026.02.09 02:00:00   ADD | SHORT | p=0.96077 | lot=3.00 | 
2026.02.10 19:00:00   CLOSE_BASKET | SHORT | p=0.95706 | lot=8.45 | reason=tp_10.0_pips net_pips=9.9
2026.02.10 19:15:00   PROBE_OPEN | LONG | p=0.95755 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.51
2026.02.10 21:45:00   CLOSE_BASKET | LONG | p=0.95866 | lot=0.05 | reason=tp_10.0_pips net_pips=11.1
2026.02.10 22:00:00   PROBE_OPEN | SHORT | p=0.95850 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.50
2026.02.11 01:00:00   CLOSE_BASKET | SHORT | p=0.95769 | lot=0.05 | reason=tp_10.0_pips net_pips=8.1
2026.02.11 01:15:00   PROBE_OPEN | LONG | p=0.95850 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.50
2026.02.11 03:15:00   CLOSE_BASKET | LONG | p=0.95964 | lot=0.05 | reason=tp_10.0_pips net_pips=11.4
2026.02.11 03:30:00   PROBE_OPEN | SHORT | p=0.95935 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.50
2026.02.11 04:30:00   ADD | SHORT | p=0.96219 | lot=1.20 | 
2026.02.11 08:45:00   CLOSE_BASKET | SHORT | p=0.96103 | lot=1.25 | reason=tp_10.0_pips net_pips=10.5
2026.02.11 09:00:00   PROBE_OPEN | LONG | p=0.96131 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.48
2026.02.11 13:45:00   CLOSE_BASKET | LONG | p=0.96278 | lot=0.05 | reason=tp_10.0_pips net_pips=14.7
2026.02.11 14:00:00   PROBE_OPEN | SHORT | p=0.96246 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.48
2026.02.11 15:45:00   ADD | SHORT | p=0.96479 | lot=1.20 | 
2026.02.11 16:15:00   ADD | SHORT | p=0.96720 | lot=1.80 | 
2026.02.12 10:45:00   CLOSE_BASKET | SHORT | p=0.96544 | lot=3.05 | reason=tp_10.0_pips net_pips=7.3
2026.02.12 11:00:00   PROBE_OPEN | LONG | p=0.96586 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.46
2026.02.12 15:30:00   CLOSE_BASKET | LONG | p=0.96683 | lot=0.05 | reason=tp_10.0_pips net_pips=9.7
2026.02.12 15:45:00   PROBE_OPEN | SHORT | p=0.96789 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.46
2026.02.12 18:30:00   CLOSE_BASKET | SHORT | p=0.96620 | lot=0.05 | reason=tp_10.0_pips net_pips=16.9
2026.02.12 18:45:00   PROBE_OPEN | LONG | p=0.96748 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.46
2026.02.12 20:00:00   ADD | LONG | p=0.96549 | lot=1.20 | 
2026.02.13 07:30:00   ADD | LONG | p=0.96356 | lot=1.80 | 
2026.02.13 09:15:00   ADD | LONG | p=0.96150 | lot=2.40 | 
2026.02.16 03:30:00   CLOSE_BASKET | LONG | p=0.96446 | lot=5.45 | reason=tp_10.0_pips net_pips=13.5
2026.02.16 03:45:00   PROBE_OPEN | SHORT | p=0.96413 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.17 04:00:00   CLOSE_BASKET | SHORT | p=0.96311 | lot=0.05 | reason=tp_10.0_pips net_pips=10.2
2026.02.17 04:15:00   PROBE_OPEN | LONG | p=0.96307 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.17 10:45:00   CLOSE_BASKET | LONG | p=0.96411 | lot=0.05 | reason=tp_10.0_pips net_pips=10.4
2026.02.17 11:00:00   PROBE_OPEN | SHORT | p=0.96423 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.17 14:45:00   CLOSE_BASKET | SHORT | p=0.96348 | lot=0.05 | reason=tp_10.0_pips net_pips=7.5
2026.02.17 15:00:00   PROBE_OPEN | LONG | p=0.96318 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.17 18:15:00   CLOSE_BASKET | LONG | p=0.96427 | lot=0.05 | reason=tp_10.0_pips net_pips=10.9
2026.02.17 18:30:00   PROBE_OPEN | SHORT | p=0.96414 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.17 20:45:00   ADD | SHORT | p=0.96639 | lot=1.20 | 
2026.02.18 00:15:30   CLOSE_BASKET | SHORT | p=0.96654 | lot=1.25 | reason=tp_10.0_pips net_pips=-2.4
2026.02.18 00:30:00   PROBE_OPEN | SHORT | p=0.96551 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.35
2026.02.18 05:00:00   CLOSE_BASKET | SHORT | p=0.96469 | lot=0.05 | reason=tp_10.0_pips net_pips=8.2
2026.02.18 05:15:00   PROBE_OPEN | LONG | p=0.96473 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.35
2026.02.18 10:00:00   CLOSE_BASKET | LONG | p=0.96580 | lot=0.05 | reason=tp_10.0_pips net_pips=10.7
2026.02.18 10:15:00   PROBE_OPEN | SHORT | p=0.96596 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.35
