idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
165,2025.05.14 06:30:00,2025.05.14 11:00:00,LONG,1,0.90213,0.90318,0.01,10.5,tp_10.0_pips,0.105,0.71
166,2025.05.14 13:00:00,2025.05.15 04:45:00,LONG,3,0.89881,0.89992,0.61,11.1,tp_10.0_pips,6.745,45.69
167,2025.05.15 07:30:00,2025.05.16 07:30:00,LONG,4,0.89465,0.89567,1.09,10.2,tp_10.0_pips,11.172,75.68
168,2025.05.16 13:15:00,2025.05.16 21:30:00,LONG,2,0.89436,0.89541,0.25,10.5,tp_10.0_pips,2.626,17.79
169,2025.05.16 23:30:00,2025.05.19 05:30:00,LONG,1,0.89524,0.89635,0.01,11.1,tp_10.0_pips,0.111,0.75
170,2025.05.19 07:45:00,2025.05.19 10:30:00,LONG,1,0.89527,0.89635,0.01,10.8,tp_10.0_pips,0.108,0.73
171,2025.05.20 00:15:00,2025.05.21 06:30:00,LONG,6,0.89456,0.89567,2.41,11.1,tp_10.0_pips,26.855,181.92
172,2025.05.21 10:15:00,2025.05.21 17:15:00,LONG,2,0.89323,0.89435,0.25,11.2,tp_10.0_pips,2.809,19.03
173,2025.05.21 20:30:00,2025.05.22 11:15:00,LONG,1,0.89261,0.89412,0.01,15.1,tp_10.0_pips,0.151,1.02
174,2025.05.22 11:30:00,2025.05.22 12:15:00,SHORT,1,0.89381,0.89212,0.01,16.9,tp_10.0_pips,0.169,1.14
175,2025.05.23 04:00:00,2025.05.23 15:15:00,SHORT,2,0.89111,0.89022,0.25,8.9,tp_10.0_pips,2.230,15.11
176,2025.05.23 18:30:00,2025.05.26 00:15:00,SHORT,1,0.89088,0.89168,0.01,-8.0,tp_10.0_pips,-0.080,-0.54
177,2025.05.26 00:30:00,2025.05.26 04:45:00,LONG,1,0.89203,0.89404,0.01,20.1,tp_10.0_pips,0.201,1.36
178,2025.05.26 10:00:00,2025.05.27 22:45:00,LONG,4,0.88830,0.88959,1.09,12.9,tp_10.0_pips,14.066,95.29
179,2025.05.27 23:00:00,2025.05.28 00:15:30,SHORT,1,0.89033,0.89079,0.01,-4.6,tp_10.0_pips,-0.046,-0.31
180,2025.05.28 01:15:00,2025.05.28 05:00:00,SHORT,1,0.88983,0.88892,0.01,9.1,tp_10.0_pips,0.091,0.62
181,2025.05.28 06:45:00,2025.05.28 07:30:00,SHORT,1,0.89048,0.88972,0.01,7.6,tp_10.0_pips,0.076,0.51
182,2025.05.28 09:45:00,2025.05.28 10:00:00,SHORT,1,0.89032,0.88948,0.01,8.4,tp_10.0_pips,0.084,0.57
183,2025.05.28 11:15:00,2025.05.28 15:45:00,SHORT,1,0.89043,0.88957,0.01,8.6,tp_10.0_pips,0.086,0.58
184,2025.05.28 20:30:00,2025.05.29 15:00:00,SHORT,2,0.89045,0.88971,0.25,7.4,tp_10.0_pips,1.839,12.46
185,2025.05.29 15:45:00,2025.05.29 16:45:00,SHORT,1,0.89046,0.88961,0.01,8.5,tp_10.0_pips,0.085,0.58
186,2025.05.29 19:30:00,2025.05.30 04:45:00,SHORT,1,0.88969,0.88884,0.01,8.5,tp_10.0_pips,0.085,0.58
187,2025.05.30 08:30:00,2025.05.30 10:00:00,SHORT,1,0.88873,0.88779,0.01,9.4,tp_10.0_pips,0.094,0.64
188,2025.06.02 01:30:00,2025.06.02 06:15:00,SHORT,2,0.88637,0.88538,0.25,9.9,tp_10.0_pips,2.483,16.82
189,2025.06.02 08:45:00,2025.06.02 16:30:00,SHORT,2,0.88829,0.88754,0.25,7.5,tp_10.0_pips,1.882,12.75
190,2025.06.02 17:15:00,2025.06.03 00:15:00,SHORT,2,0.89079,0.89087,0.25,-0.8,tp_10.0_pips,-0.188,-1.27
191,2025.06.03 01:00:00,2025.06.03 02:45:00,LONG,1,0.88979,0.89082,0.01,10.3,tp_10.0_pips,0.103,0.70
192,2025.06.03 04:45:00,2025.06.04 12:30:00,LONG,3,0.88697,0.88801,0.61,10.4,tp_10.0_pips,6.356,43.06
193,2025.06.04 12:45:00,2025.06.05 00:15:00,SHORT,1,0.88805,0.88839,0.01,-3.4,tp_10.0_pips,-0.034,-0.23
194,2025.06.05 02:00:00,2025.06.05 21:15:00,SHORT,2,0.89050,0.88971,0.25,7.9,tp_10.0_pips,1.986,13.45
195,2025.06.06 01:45:00,2025.06.06 05:15:00,SHORT,1,0.88940,0.88851,0.01,8.9,tp_10.0_pips,0.089,0.60
196,2025.06.06 10:45:00,2025.06.09 16:15:00,SHORT,3,0.89181,0.89104,0.61,7.7,tp_10.0_pips,4.674,31.66
197,2025.06.09 16:45:00,2025.06.10 08:30:00,SHORT,2,0.89406,0.89241,0.25,16.5,tp_10.0_pips,4.122,27.92
198,2025.06.10 09:00:00,2025.06.11 15:45:00,LONG,2,0.89059,0.89251,0.25,19.2,tp_10.0_pips,4.804,32.54
199,2025.06.11 19:45:00,2025.06.12 15:45:00,LONG,3,0.88752,0.88958,0.61,20.6,tp_10.0_pips,12.574,85.18
200,2025.06.12 16:15:00,2025.06.13 03:15:00,SHORT,1,0.88810,0.88433,0.01,37.7,tp_10.0_pips,0.377,2.55
201,2025.06.13 10:45:00,2025.06.13 13:15:00,SHORT,1,0.88360,0.88290,0.01,7.0,tp_10.0_pips,0.070,0.47
202,2025.06.13 14:45:00,2025.06.13 15:15:00,SHORT,1,0.88323,0.88254,0.01,6.9,tp_10.0_pips,0.069,0.47
203,2025.06.13 17:00:00,2025.06.13 21:45:00,SHORT,1,0.88281,0.88193,0.01,8.8,tp_10.0_pips,0.088,0.60
204,2025.06.16 03:15:00,2025.06.16 04:30:00,SHORT,1,0.88174,0.88090,0.01,8.4,tp_10.0_pips,0.084,0.57
205,2025.06.16 07:30:00,2025.06.17 00:15:00,SHORT,3,0.88526,0.88546,0.61,-2.0,tp_10.0_pips,-1.234,-8.36
206,2025.06.17 04:45:00,2025.06.17 12:45:00,SHORT,2,0.88699,0.88616,0.25,8.3,tp_10.0_pips,2.069,14.02
207,2025.06.17 14:15:00,2025.06.17 15:45:00,SHORT,1,0.88684,0.88591,0.01,9.3,tp_10.0_pips,0.093,0.63
208,2025.06.17 16:30:00,2025.06.17 17:45:00,SHORT,1,0.88660,0.88471,0.01,18.9,tp_10.0_pips,0.189,1.28
209,2025.06.17 23:15:00,2025.06.18 14:00:00,SHORT,3,0.88784,0.88696,0.61,8.8,tp_10.0_pips,5.366,36.35
